Kalimat-1,Kalimat-2,Kalimat-3,Kalimat-4,Correct Ending,Incorrect Ending
Ayah Gina menyalakan selang air untuknya.,Dia memperhatikan saat dia menyemprotkan tumpahan soda ke teras.,Sudah berjam-jam duduk di sana.,Itu adalah kekacauan lengket yang kering pada saat dia mulai membersihkannya.,Gina akhirnya membersihkan semuanya setelah beberapa jam.,Gina menjilat piringnya sampai bersih.
Josh suka menonton acara TV anime.,"Ketika dia mengkritik salah satu dari mereka, penggemarnya marah padanya.",Josh tidak mengerti mengapa mereka tidak bisa menerima kritik.,Josh menyimpan pendapatnya untuk dirinya sendiri.,Josh kemudian memutuskan untuk menonton anime sendirian.,Josh suka menonton anime bersama orang lain.
Al dan Val adalah saudara kembar yang sangat dekat.,"Mereka berpakaian sama, berbicara serupa dan bersama 24/7.","Suatu hari, Val didiagnosis menderita kanker stadium akhir.","Dia segera meninggal, dan Al benar-benar hancur.",Al merasa lebih kesepian seiring berjalannya waktu.,Al dan Val pergi makan.
Sekarang giliran Nate yang menyapu lantai minggu ini.,Dia terkenal malas.,Dia memutuskan untuk membayar teman sekamarnya untuk melakukannya untuknya.,Teman sekamar mengambil uang itu dan tidak pernah melakukan pekerjaan itu.,Nate kesulitan mengumpulkan energi untuk menghadapinya.,Nate tertawa bersama teman-temannya tentang perilaku anjingnya.
Nya ingin melihat pawai di pusat kota.,Dia menangkap tiga bus.,Lalu dia naik subway.,Dia berhasil sampai di pusat kota tepat pada waktunya.,Nya sangat senang bisa menyaksikan pawai.,Nya merindukan parade sama sekali.
Lizzy tinggal di sebuah pulau di daerah tropis.,Setiap hari mereka pergi ke perkebunan pisang dan mengambil sebagian.,Hari ini Lizzy ingin memetik pisangnya sendiri.,Dia memanjat pohon yang tinggi dan menyadari betapa besar tandannya.,Lizzy membutuhkan bantuan untuk menurunkan pisang.,Lizzy memutuskan dia tidak suka pisang.
Morgan menyukai teh.,Dia membeli mug perjalanan untuk membawa teh bersamanya ke sekolah.,Dia meminum semua tehnya dalam perjalanan ke sekolah.,"Jadi, ketika dia sampai di sekolah, dia harus mengisi lebih banyak air panas.",Morgan senang dia ingat untuk membawa kantong teh ekstra.,Morgan senang air panasnya terasa seperti kopi.
"Suatu hari, John bertemu dengan seorang gadis cantik bernama Jessica.",Dia senang berbicara dengannya dan menghabiskan waktu bersamanya.,John meminta Jessica untuk berkencan dengannya.,"Dia berkata ya, dan mereka bersenang-senang.",John senang dia mengajaknya berkencan.,John kesal karena mereka mengalami waktu yang begitu menyebalkan.
Sam dan istrinya sibuk berkemas untuk perjalanan mereka.,Dia sangat menantikan perjalanan ini.,Dia sangat senang bisa menghabiskan banyak waktu bersamanya.,Mereka menyelesaikan pengepakan dan kemudian tersenyum satu sama lain.,Sam dan istrinya bersenang-senang bersama.,Sam ingin menjauh dari istrinya secepat mungkin.
Sydney perlu mencuci pakaian.,Dia menyortir pakaian kotornya berdasarkan warna.,Dia membuang muatan pertama ke mesin cuci.,Dia menambahkan deterjen dan pelembut kain.,Dia terus melakukan ini sampai cucian selesai.,Dia memutuskan untuk pergi ke bioskop.
Saya menghabiskan sebagian besar waktu detensi saya dengan tidur di kelas.,Guru saya menyuruh saya untuk bangun karena tidak ada waktu tidur nyenyak.,Saya mencoba untuk tetap terjaga dan mengerjakan beberapa tugas.,"Ketika guru saya mengantarkan saya keluar kelas, saya senang.","Ketika saya sampai di rumah, saya langsung pergi tidur.",Guru senang saya tidur di tahanan.
Brian diminta untuk menjaga anjing temannya.,Mereka meninggalkan buku catatan untuk menyimpan catatan.,Dia akan memperbaruinya dengan waktu dia pergi ke sana.,Tepat sebelum dia kembali dia meninggalkan pesan tentang waktu mereka.,Dia senang karena teman-temannya menganggapnya bisa dipercaya.,Dia harus mengakui bahwa dia tidak terlalu menyukai kucing mereka.
James berusia dua belas tahun dan menyukai makanan.,Dia tidak pernah berpikir untuk membuat makanan sampai hari ini.,Ibunya mengizinkannya membantu menyiapkan nasi untuk makan malam.,James belajar betapa menyenangkan dan kreatifnya memasak.,James memutuskan untuk menjadi koki saat dia besar nanti.,James tidak pernah memasak lagi.
Burke tidak punya banyak teman.,Dia selalu berjalan dengan cemberut di wajahnya.,"Suatu hari, seorang asing mengatakan kepadanya bahwa dia harus lebih banyak tersenyum.",Burke memutuskan untuk mencoba tersenyum.,Burke segera kembali menjadi pemarah.,Burke menyukai gangguan dari orang asing.
Johnson tidak pernah suka berada di luar ruangan.,Pacarnya menggodanya bahwa dia tidak akan pernah bisa pergi berkemah.,Johnson memutuskan untuk membuktikan bahwa dia salah.,Dia mengemasi tenda dan pergi berkemah untuk akhir pekan yang panjang.,"Dia mengalami akhir pekan yang menyedihkan, tetapi memberi tahu pacarnya bahwa itu luar biasa.",Johnson adalah seorang pecinta alam terbuka dan sering mendaki.
Frank mengisi lusinan balon air untuk dilemparkan ke saudari ini.,Sedikit yang dia tahu dia siap untuknya.,"Ketika dia memulai serangan, dia mengeluarkan pistol air besar.",Itu jauh lebih efektif daripada balonnya.,Frank membeli pistol air keesokan harinya.,Frank mendaftar di kelas biologi kelautan.
Mary ingin membuat rencana untuk Malam Tahun Baru.,Dia memutuskan untuk mengadakan pesta di apartemennya.,Dia mengundang semua temannya.,Teman-temannya membawakan makanan dan minuman ke pesta.,Itu adalah pesta Malam Tahun Baru terbaik yang pernah ada.,"Dia menerima makanan itu, dan meminta mereka semua untuk pergi."
Lucy suka menulis puisi.,Suatu hari ibu Lucy sangat kesal.,Lucy benci melihat ibunya tidak bahagia.,Dia memutuskan untuk menulis puisi untuknya.,Puisi itu membuat ibu Lucy merasa lebih baik.,Ibu Lucy membenci puisi itu.
Jose sangat bersemangat.,Dia baru saja mendapatkan skateboard baru dan ingin mencobanya.,Dia langsung membawanya ke skatepark.,Dia berseluncur sepanjang hari.,Jose bersenang-senang di skatepark.,Jose membuang skateboardnya.
John dan Meg telah berkencan selama lima tahun.,"John mencintai Meg, dan ingin menikahinya.","Dia memutuskan untuk memintanya menikah malam ini, setelah kencan film.","Ketika mereka keluar dari bioskop, dia tiba-tiba berlutut.",Dia memintanya untuk menikah dengannya.,Dia mulai meneriakkan kata-kata kotor pada Meg.
Ibuku dulu punya kambing peliharaan.,Dia merawatnya dengan sangat baik.,"Suatu hari, dia menyadari bahwa kambing itu hilang.",Dia bertanya pada ibunya dimana itu.,Katie merasa lega saat ibunya mengatakan halaman belakang.,Katie kecewa saat ibunya mengatakan halaman belakang.
Terry menemukan dua ratus dolar di tempat kerja.,Dia membawa pulang uang itu tetapi dia bertanya-tanya apakah dia melakukan hal yang benar.,Keesokan harinya dia mengambil uang itu untuk bekerja dan menyerahkannya.,Setelah seminggu tidak ada yang mengklaim uang itu sehingga bosnya mengembalikannya.,Dia belajar bahwa kejujuran ada untungnya.,Dia membenci keputusannya dan dirinya sendiri.
Keluarga Rae duduk untuk makan siang hari Minggu.,Kakak Rae tidak sengaja menumpahkan minumannya.,Ayah tiri Rae berteriak dan melemparkan piringnya ke seberang ruangan.,Rae menyaksikan piring itu pecah menjadi jutaan keping.,Rae pergi untuk mengambil sapu.,Rae menanyakan nama tukang ledeng pada kakaknya.
"Suatu hari, Misty melihat sesuatu yang aneh di gereja.",Seseorang telah meninggalkan kucing yang cantik dan lembut di depan pintu gereja.,Misty dan ibunya membawa pulang kucing itu dan menamainya Huckle.,Huckle membuktikan kucing yang sangat lucu yang suka bermain dengan tas.,Misty senang mengadopsi kucing itu.,Misty tidak menginginkan kucing itu.
Sammy mengalami sakit perut yang parah suatu pagi.,Tapi dia memaksakan diri untuk pergi ke sekolah.,"Saat dia mendekati bus, dia berpikir untuk kembali.",Tapi dia merasa sudah terlambat untuk berubah pikiran.,Dia pergi ke sekolah dan menderita melalui rasa sakit.,Dia duduk di tepi jalan dan menyaksikan bus melewatinya.
Scott tahu seseorang mencuri paket dari serambinya.,Dia memasang kamera pengintai di dekat pintunya.,Dia merasa bahwa dia setidaknya memiliki video pencuri itu.,"Suatu hari, Scott melihat rekaman pelaku.",Scott menangkap pelaku.,Scott memberinya tos.
Reg berharap akan turun salju.,Terjadi badai yang buruk dalam semalam.,Dia mendapatkan keinginannya dan sekolah dibatalkan!,Dia menghabiskan sepanjang hari bermain di salju membuat manusia salju.,Reg berharap dia akan segera mendapatkan hari bersalju lagi.,Reg berharap salju tidak akan turun lagi.
Mei adalah bulan favorit Harry.,Harry berulang tahun di bulan Mei dan sekolah juga mengizinkan.,Setiap Mei Harry juga pergi ke pedesaan untuk melihat temannya Mary.,Mary dan Harry akhirnya bertunangan.,Harry mencintai Mary.,Harry tidak menyukai Mary.
Damon kehilangan dompet dengan ID di dalamnya.,Dia mencari ke seluruh penjuru rumah.,Dia tidak bisa menemukannya di mana pun.,Dia akhirnya pergi dan mendapatkan ID pengganti.,"Keesokan harinya, Damon menemukan dompetnya di bawah tempat tidur.",Damon langsung pergi ke kamarnya dan pergi tidur.
Tim kami ada pertandingan sepak bola hari ini.,Kami semua bersemangat untuk menang.,Kami masuk ke lapangan dan berlatih sebelum pertandingan.,"Tim kami bersatu, dan bekerja sama.",Tim kami merasa bersyukur.,Tim kami malu dengan kinerja mereka.
Seorang ibu menatap wajah bayinya yang baru lahir.,Dia memimpikan masa depan mereka bersama.,Mimpinya adalah memberinya masa kecil yang tidak diberikan padanya.,Dia mengorbankan waktu dan tenaga untuk mencapai tujuannya.,Anak laki-laki itu memiliki masa kecil yang sangat bahagia.,Anak laki-laki itu menderita selama masa kecilnya.
Ivy terbang dengan pesawat tamasya kecil.,Tiba-tiba pilot itu mengumumkan.,Pesawat mengalami masalah kemudi dan akan jatuh!,Ivy dengan cepat bersiap di posisi crash.,"Ketika pesawat tiba-tiba dikoreksi, Ivy merasa lega.",Ivy senang dia telah memilih untuk terbang.
Saya suka makan prasmanan sepuasnya.,Dulu ada prasmanan yang luar biasa di dekat rumah saya.,Itu memiliki semua jenis makanan dari seluruh dunia.,Satu-satunya masalah adalah harganya sangat mahal.,"Jadi saya akan memanjakannya sesekali, dan rasanya enak!",Saya selalu makan di sana ketika saya ingin menghemat uang!
Renee terinspirasi oleh musik Eddie Van Halen.,Dia memutuskan untuk belajar bermain gitar.,Dia membeli gitar listrik dan amp.,Dia benci menekan senar dengan jari-jarinya.,Renee memutuskan dia harus terbiasa dengannya.,Renee senang dia memutuskan untuk belajar bermain drum.
Ibu memintaku untuk mengambil beberapa barang di toko bahan makanan.,Saya memutuskan untuk membawa sepeda ke toko daripada berjalan kaki.,Saya bertemu dengan seorang teman dan menawarinya tumpangan dengan sepeda saya.,"Saat kami bersepeda, sepeda saya rusak menjadi dua.",Saya menyadari bahwa sepeda saya hanya cocok untuk satu pengendara.,Aku dengan sembarangan melempar tisu bekas ku ke selokan.
Mobil merah keluarga saya rusak tahun lalu.,Keluarga kami membutuhkan mobil 2 pintu yang memiliki jarak tempuh yang baik.,Kami mengunjungi beberapa orang yang menjual mobil.,Orang tua saya mencari di beberapa dealer.,Mereka membeli mobil merah lagi.,Orang tua saya membeli moped yang cocok.
Gina dan temannya Tami sedang berjalan ke ruang kelas mereka.,"Di lorong, Gina bisa melihat pria itu menggertak yang telah membuatnya tersandung.",Gina berusaha menjaga ketenangannya.,Dia menarik napas dalam-dalam dan tersenyum lemah.,"Tami menyuruh si pengganggu untuk tersesat, dan dia tampak terintimidasi.",Tami menindas Gina sampai Gina mulai menangis.
John tidak suka berpetualang mencoba makanan baru.,Ibunya selalu menyuruhnya mencoba 2 gigitan sesuatu yang baru.,"Jika dia tidak menyukainya, dia tidak perlu makan lagi.",Suatu hari dia memberinya makanan berlendir yang disebut pepaya.,"John makan, tetapi memberi tahu ibunya bahwa dia tidak pernah ingin memakannya lagi.",John tahu kebun pepaya membutuhkan investasi modal baru.
Ellen mengalami empat kali keguguran berturut-turut.,Suaminya Tim putus asa menjadi seorang ayah.,Kemudian dokter memanggilnya di tempat kerja.,Dia memberitahunya bahwa ada berita bagus tentang Ellen.,Dokter memberi tahu Tim bahwa Ellen akhirnya hamil.,Dokter memberi tahu Tim bahwa Emily pergi lari.
Aku sangat gugup sebelum pesta dansa sekolah menengah pertamaku.,Saya terkejut orang yang saya sukai mengatakan ya untuk memulai.,"Ketika kami akhirnya mendapat kesempatan untuk menari, saya menginjak kakinya.",Itu akhirnya rusak.,"Sekarang, dia bahkan tidak mau berbicara denganku.",Saya mengantarnya ke iHop untuk makan pancake dan shake.
Lia berusaha menurunkan berat badan.,Dia menghentikan junk food dan makanan berlemak.,Tapi dia masih berjuang untuk menurunkan berat badan.,Kemudian dia mulai berlari setiap hari di atas treadmill-nya.,Dia mulai menurunkan berat badan.,Dia bertambah 50 pound.
Laptop saya tidak mau bekerja.,Itu berhenti menyala karena beberapa alasan.,Saya mencoba beberapa hal berbeda untuk memperbaikinya.,Akhirnya saya mendapat charger baru dari internet.,Sekarang itu datang setiap saat.,Itulah mengapa saya hanya bermain Frisbee di luar.
Saya mengendarai sepeda motor saya di seberang jalan.,Saya mengambil jalan setapak yang menuju ke jalur berkuda.,Saya melakukan beberapa lap.,"Bosan, saya pulang ke rumah.",Saya membersihkan sepeda motor saya setelah sampai di rumah.,Saya mengubah kata sandi wifi untuk meningkatkan keamanan.
Ann sedang hamil.,Dia sangat senang mengetahui hal ini karena dia selalu menginginkan seorang bayi.,"Beberapa bulan kemudian, dia mengalami keguguran.",Dia sangat trauma karenanya.,Ann patah hati.,Ann lega dia tidak hamil.
Sam dan John pergi keluar untuk memainkan Frisbee pamungkas suatu hari nanti.,"Setibanya di lapangan, ada pertandingan sepak bola pikap.",Sam mendekati mereka dan meminta mereka untuk membiarkan dia dan John bermain juga.,"Setelah beberapa menit berbicara, mereka setuju dan semua orang bermain sebentar.",Lalu mereka semua pulang.,Sam dan John lari dari sekelompok anak laki-laki.
Quinton diusir dari apartemennya.,Dia bangkrut tanpa penghasilan.,"Suatu hari, dia memutuskan untuk menghabiskan dolar terakhirnya untuk lotre.","Untuk ketidakpercayaannya, dia memenangkan $ 50.000!",Quinton sangat senang.,Quinton merasa tertekan.
Tina selalu mengenakan bikini merah saat pergi ke pantai.,Dia dikenal karena itu dan semua orang berharap untuk melihatnya.,Suatu hari dia bertemu teman-temannya dengan bikini biru dan mengejutkan mereka.,Mereka tidak mengerti mengapa dia memakai sesuatu yang berbeda.,Mereka menyukai bikini baru.,Teman-teman Tina tahu betapa tak terduga dia.
"Suatu hari, seekor anjing pindah ke sebuah keluarga yang memiliki dua kucing.","Satu kucing tidak keberatan dengan anjing baru itu, tetapi kucing lainnya ketakutan.",Dia mengeong dengan keras dan menggaruk hidung anjing itu.,Dia melompat dari satu sisi ruangan ke sisi lain untuk melarikan diri dari anjing itu.,Anjing itu menemukannya dan menganiaya dia.,Dia memeluk anjing itu.
Jim adalah pengemudi baru dan belum pernah menepi sebelumnya.,Kemarin dia menepi karena ngebut.,Petugas menjelaskan kepadanya mengapa dia diberi tiket.,Jim harus bekerja lembur untuk membayar tiket.,Jim sangat kesal.,Jim senang melihat petugas itu.
Bob sedang melamun sambil mengemudikan mobilnya.,Seekor rusa melompat tepat di depannya ke jalan.,Mobil Bob menabrak rusa!,Bumper depan rusa dan Bob hancur lebur!,Bob linglung dan ada luka di dahinya!,"Setelah itu, Bob merasa gugup untuk menunggang kuda."
Alexia sangat senang mendapatkan anjing baru.,Dia sudah lama menginginkan anjing baru.,Akhirnya orang tuanya setuju untuk memberinya satu.,Mereka mengantarnya ke kernel untuk mengambil satu.,Alexia jatuh cinta dengan seekor anjing berbulu di kandang.,Alexia menangis karena dia menginginkan kucing sebagai gantinya.
Saya telah memberi pria tunawisma ini perubahan setiap hari.,Dia berada di sudut yang sama di dekat rumah saya.,"Suatu hari, ketika saya sedang berkendara melalui lingkungan saya, saya melihat sebuah mobil baru.","Tak lama kemudian, saya melihat pria tunawisma yang sama muncul darinya!",Saya tidak pernah memberi orang itu uang lagi.,Keesokan harinya saya memberi orang itu dua puluh dolar.
Jenny selalu suka pergi ke Starbucks.,Suatu hari dia memesan kopinya.,"Ketika dia sampai di loket untuk membayar, dia diberitahu bahwa itu sudah dibayar.",Orang di depannya telah membayar.,Jenny membayar pesanan orang di belakangnya.,Jenny membayar kopinya dengan uang tunai.
"Sepulang sekolah, Alex pergi ke rumah temannya untuk bermain video game.",Alex sendiri tidak punya video game jadi dia senang.,Alex selalu kalah jika melawan temannya.,"Namun, dia tidak peduli karena Alex selalu bersenang-senang.",Alex suka bermain video game.,Alex benci bermain video game.
Keith tinggal di daerah yang sesekali mengalami gempa bumi.,Tapi dia pikir menyimpan kotak P3K itu tidak perlu.,"Keesokan harinya, dia memotong tangannya saat memotong makanan.",Dan dia harus menyetir sendiri ke rumah sakit.,Mobil Keith kemudian tergelincir dari jalan saat gempa melanda.,Kapal pesiar Keith menghantam karang dengan kecepatan tinggi.
Felipe selalu ingin melihat Pacific Northwest yang indah.,Dia memutuskan untuk melakukan perjalanan ke Oregon suatu hari nanti.,"Di Oregon, Felipe mendaki gunung-gunung besar dan makan makanan lezat.",Dia sedih ketika perjalanannya berakhir.,Felipe segera merencanakan perjalanan berikutnya.,Felipe bersumpah dia tidak akan pernah kembali ke tempat yang buruk ini.
Ray senang menghabiskan hari di pantai.,"Dia dan pacarnya menghabiskan waktu berjam-jam berbaring di pasir, berjemur.",Ray suka membaca buku dan mendengarkan musik di pemutar MP3-nya.,Pacarnya suka pergi ke dalam air sebentar.,Mereka berdua menikmati hari mereka.,Mereka tidak lagi menyukai pantai.
George pernah magang.,Dia sangat ingin mendapatkan pekerjaan penuh waktu di perusahaan.,George bekerja keras dan terbukti pintar.,Sebuah posisi terbuka yang diinginkan George.,Dia dengan bersemangat melamar itu dan akhirnya dipekerjakan.,Jadi dia memutuskan untuk pulang lebih awal hari itu dan berhenti magang.
Robbie dan saya pergi ke restoran mewah untuk ulang tahun kami.,Itu sangat elegan.,Kami berdua harus berpakaian formal untuk mendapatkan meja.,Kami menikmati SEPULUH kursus selama empat jam.,Robbie dan saya berdandan untuk acara itu.,Robbie dan saya memakai celana pendek ke restoran.
Joe adalah seorang pencari emas amatir.,Dia pergi ke perbukitan untuk mencari emas.,"Alih-alih emas, ia menemukan banyak batu biru dan hijau kecil.",Dia mengumpulkan semuanya untuk dinilai di kota.,Joe berharap mereka berharga.,Joe berharap batu-batu itu tidak berharga.
Jody adalah pekerja yang sangat keras.,Dia selalu melakukan yang terbaik dan sering bekerja lembur.,Atasan Jody memperhatikan usahanya dan memutuskan untuk memberinya promosi.,Kerja kerasnya telah membuahkan hasil!,Jody menjadi manajer dan berhasil.,Jody langsung dipecat.
Fran membeli rumah di pantai.,Setiap hari burung bangau akan memakan serangga di halaman rumahnya.,Suatu hari meskipun crane berhenti datang.,Beberapa bulan telah berlalu dan masih belum ada crane,Halaman Fran sekarang dibanjiri serangga.,Fran menderita serangan jantung yang fatal saat dia merangkai bunga.
Neil baru saja tiba di Iran.,Dia terpesona dengan kota dan pedesaan.,Dia pikir pegunungan itu sangat indah.,Bahasa dan orang-orangnya juga luar biasa.,Dia senang berada di Iran.,"Dia segera pergi.,"
Kelly dan teman-temannya memutuskan pergi ke India untuk makan siang.,Mereka adalah orang pertama yang berada di dalam restoran.,Itu adalah prasmanan jadi mereka mendapatkan apa yang mereka inginkan.,Gadis-gadis itu menyukai makanannya.,Mereka kembali berkali-kali.,Mereka bersumpah tidak akan pernah kembali.
Joe pergi ke tempat barang rongsokan untuk mencari harta karun.,Dia menggali tumpukan pakaian lama.,Di bagian bawah ada kemeja vintage dengan pita rock di atasnya.,Joe memakai kemeja itu untuk mencobanya.,Joe senang bajunya pas.,Joe membenci musik rock sesudahnya.
Ava marah karena dia harus memakai rompi di kolam renang.,Dia ingin berenang tanpa rompi seperti kakaknya.,Dia bertanya kepada ibunya apakah dia bisa mengambil pelajaran renang.,Ava mengambil pelajaran selama 6 minggu dan belajar berenang.,Dia senang karena dia tidak perlu memakai rompi lagi.,Dia kesal karena dia tidak perlu memakai rompi itu lagi.
Amber sangat menikmati bermain softball.,Dia berlatih sangat keras dan mencoba untuk tim.,Keterampilan memukulnya tidak terlalu bagus.,Dia harus berlatih pukulan selama beberapa minggu,Amber perlahan berkembang menjadi pemukul yang cukup baik.,Latihan ekstra itu meningkatkan keterampilan tangkas Amber.
Beth membuat kentang tumbuk dari awal.,"Setelah memasak kentang, saatnya untuk menumbuknya.","Ibunya tidak memiliki food processor, Beth harus mengolahnya dengan tangan.",Itu adalah kerja keras yang memakan waktu berjam-jam.,Beth berdedikasi untuk membuat kentang tumbuk yang enak.,Beth adalah juru masak yang malas.
Jerry baru saja belajar naik sepeda dan bersemangat untuk pergi jalan-jalan.,Dia mulai menyusuri jalan di dekat rumahnya ketika dia menemukan jalan berlubang.,Sepedanya langsung berhenti dan membalikkannya.,Dia berbaring di sana berteriak minta tolong tanpa ada yang terlihat.,Ibu Jerry membutuhkan waktu dua puluh menit untuk menemukannya.,Jerry tidak sabar menunggu perjalanan bersepeda berikutnya.
Jim sedang membuang sampah.,Dia terpeleset di atas es di trotoar.,Jim jatuh dengan keras ke trotoar.,Jim merasakan sesuatu patah di lengannya.,Jim terluka dan harus menelepon 911.,Jim memutuskan untuk melakukan handstand.
Jill sedang bermain video game dengan saudara perempuannya.,Jill marah karena dia kalah di setiap pertandingan.,Jill mengambil pengontrol game-nya dan melemparkannya ke TV.,Layar TV retak tepat di tengah.,Jill dan saudara perempuannya tidak dapat memainkan videogame lagi.,Jill menjadi lebih baik di video game.
Lester tergila-gila pada Christina.,Dia adalah seorang fotografer dan dia adalah seorang desainer grafis.,Lester menghabiskan seluruh waktu luangnya dengan Christina.,"Akhirnya, dia berkata bahwa dia mencintainya dan menginginkan anak bersamanya.",Lester memintanya untuk menikah dengannya.,Lester tidak pernah berbicara dengannya lagi.
Amy gugup dengan pertunjukan biola pertamanya.,Dia tahu bagiannya tetapi dia takut pikirannya akan kosong.,"Saat dia berdiri di atas panggung, dia memejamkan mata, menarik napas dalam-dalam.",Busurnya menari-nari melintasi senar.,Amy memberikan penampilan yang luar biasa.,Amy melempar instrumen itu ke lantai.
Brittany senang bermain video game online.,"Namun, orang-orang melecehkannya saat mereka memperjuangkan jenis kelaminnya.",Brittany hampir berhenti bermain game tetapi menemukan grup game gadis di facebook.,"Setelah bergabung, dia mulai bermain dengan gadis-gadis yang dia temui secara online.",Dia merasa lebih baik bermain dengan sekelompok orang yang lebih baik.,"Akhirnya, dia membenci semua pria."
Seorang gadis jatuh cinta dengan seorang anak laki-laki dan dia menyukainya juga.,Dia menemukan bahwa orang tua mereka tidak akur.,Laki-laki dan perempuan sangat mencintai satu sama lain.,"Namun, mereka tidak ingin menyakiti perasaan orang tua sehingga mereka menjauh",Tapi akhirnya mereka tetap bersama.,Orang tua anak laki-laki dan perempuan sangat senang karena mereka saling mencintai.
"Ketika Emily masih muda, dia harus pergi ke konser pertamanya.",Dia gugup karena semua orang di konser itu.,Emily sangat senang melihat artis favoritnya di atas panggung.,Tiket konser adalah hadiah untuk Emily di hari ulang tahunnya.,Ini adalah kado ulang tahun terbaik yang pernah dimiliki Emily.,Emily memutuskan dia tidak menginginkan tiket konser.
Valerie memutuskan dia ingin belajar bahasa Jerman.,Dia mendaftar ke kelas untuk mengajarinya.,"Ketika dia tidak ada di kelas, dia belajar dengan sangat giat.","Tak lama kemudian, dia memutuskan untuk berlatih berbicara dalam bahasa Jerman dengan seorang teman Jerman.",Valerie ingin mengunjungi Jerman.,Valerie berharap suatu hari bisa tinggal di Italia.
Andy selalu menginginkan sepeda anak-anak yang besar.,Ketika dia berusia enam tahun dia meminta sepeda untuk ulang tahunnya.,Dia tidak tahu cara mengendarai sepeda.,"Pada hari ulang tahun Andy, ibunya memberinya sepeda.",Ayahnya mengajarinya cara mengendarainya.,Andy menangis berjam-jam.
Perpustakaan lokal Gina tidak memiliki buku tentang lumba-lumba.,Dia perlu mencari perpustakaan lain.,Yang terdekat adalah di pusat kota.,Ibunya menolak untuk menerimanya.,Gina memutuskan untuk berjalan sebagai gantinya.,Gina dan ibunya segera pergi.
Leah memiliki permainan hoki.,Semua keluarganya datang untuk menghiburnya.,"Tetapi ketika dia sampai di sana, dia menyadari bahwa mereka kekurangan tenaga.",Hanya segelintir gadis yang muncul untuk bermain.,Pertandingan dibatalkan.,Lea sangat senang mendengar berita itu.
"Ben sedang menunggu di persimpangan jalan untuk mendapat tumpangan dari temannya, Tom.",Tom mengatakan bahwa dia akan menjemputnya pada jam 8:00 malam dan itu sudah lewat jam 9.,Ben ketakutan oleh suara-suara aneh yang didengarnya dari kegelapan.,Setelah beberapa saat Tom keluar dari bayang-bayang sambil tertawa.,Ben kesal karena Tom telah menipunya.,Ben melihat Tom dan lari menyelamatkan nyawanya.
Tyler pergi ke pertandingan bisbol.,Dia melihat tim favoritnya!,Timnya bermain keras.,Timnya menang!,Tyler sangat gembira!,Tyler mengalami depresi.
Anak-anak saya ingin memelihara hewan peliharaan.,"Sebagai sebuah keluarga, kami memutuskan bahwa ini adalah ide yang bagus.",Kami pergi ke penampungan hewan setempat untuk mencari teman berbulu baru kami.,"Setelah tiba, kami bertemu dengan lab hitam yang secara otomatis kami cintai.",Kami mengadopsi lab hitam dan membawanya pulang.,Kami memutuskan lab hitam tidak boleh pulang bersama kami.
Kim telah bekerja ekstra keras selama berminggu-minggu.,Dia mengetahui tentang promosi yang diperebutkan di perusahaannya.,Itu datang dengan kantor baru dan keuntungan besar.,Akhirnya semua pekerjaannya terbayar dan dia ditawari promosi.,Dia senang mendapatkan promosi itu.,Dia sedih mendapatkan promosi itu.
Stan ingin berpetualang dengan Eric.,Tetapi ibu Eric berkata bahwa Eric tidak bisa keluar dan bermain.,"Stan memohon dan memohon, tetapi tidak berhasil.",Eric menyelinap keluar dari rumahnya dan mengetuk jendela Stan.,Kedua anak laki-laki itu pergi berpetualang tanpa ragu-ragu.,Eric tertidur lelap meninggalkan Stan untuk mengurus dirinya sendiri.
Bob memiliki anak anjing yang masih kecil.,Anak anjing itu suka bermain menangkap dengan Bob.,"Tentu saja, anak anjing itu tumbuh menjadi seekor anjing.",Anjing itu menjadi tua dan tidak bisa lagi bermain menangkap.,Ini membuat Bob sedih.,Bob sangat senang dengan ini.
Zeke sedang mengadakan pesta Halloween.,Semua temannya berdandan.,Zeke berpikir untuk menjadi vampir atau penyihir.,Kemudian dia memutuskan kostum yang lebih menakutkan.,Zeke berdandan seperti tengkorak.,Zeke akan berpakaian seperti labu.
Sean ingin pergi piknik.,Dia mengemasi dirinya sendiri makan siang di dalam keranjang.,"Kemudian, dia mengendarai sepedanya ke sebuah lapangan.","Di lapangan, dia makan pikniknya.",Sean menyukai alam bebas.,Sean tidak suka makan di luar ruangan.
Emily membawa anaknya ke kebun binatang.,"Melihat banyak binatang, termasuk singa.",Anaknya sangat takut pada singa.,Dia mulai berteriak dan menangis.,Emily menggendong anaknya untuk menghiburnya.,Anak Emily berjalan mendekati singa.
Matt bertemu Tammy di klub malam.,Matt dan Tammy bertukar nomor telepon setelah malam.,Mereka berbicara di telepon setiap hari.,Suatu hari Tammy melihat Matt bersama temannya Emma.,Tammy merasa cemburu saat melihat Matt dan Emma bersama.,Tammy benci tidak punya telepon.
Neil sedang menjelajahi rel kereta api bersejarah.,"Dia berkendara ke Scranton, Pennsylvania.",Dia menyadari itu adalah depo kereta tua yang indah.,Dia mengambil banyak foto saat berada di sana.,Neil menyimpan foto-foto itu di komputernya.,Neil menghapus semua fotonya.
Saya suka pergi ke bioskop.,Saya biasa pergi hampir setiap akhir pekan.,Ada teater sekitar sepuluh menit dari rumah saya yang layak.,Itu ditutup dan sekarang saya harus berkendara jauh untuk melihat film.,Biayanya lebih mahal untuk bensin ke teater lain.,Saya masih pergi ke teater yang sama yang selalu saya miliki.
