Kalimat-1,Kalimat-2,Kalimat-3,Kalimat-4,Correct Ending,Incorrect Ending
Emma sangat menyukai tanaman,Bunga favorit Emma adalah mawar,Emma sering membeli bunga untuk hiasan di rumahnya,Emma memiliki taman di belakang garasi,Emma membeli bunga untuk ditanam di rumahnya,Emma alergi terhadap bunga
Ezran memiliki seorang sahabat perempuan,Mawar hanya memiliki satu sahabat laki-laki,Ezran memiliki pengalaman yang berharga dengan sahabatnya,Pengalaman berharga Ezran adalah tentang memahami arti kehidupan,Mawar pernah mengajarkan Ezran tentang arti kehidupan,Ezran tidak memiliki pengalaman berharga dengan Mawar
Amir akan menikah dengan Vanni,Mereka menggelar pernikahan di balairung hotel,Vanni mengenakan gaun pengantin berwarna putih,Amir seolah melihat bidadari dari langit,Vanni berpenampilan sangat cantik,Amir tidak mau dijodohkan dengan Vanni
Warqa pergi ke gudang papa,Warqa menemukan sebuah album foto,Album foto itu dibuat setelah Warqa lahir,Warqa melihat foto seorang bayi di dalam album foto tersebut,Bayi yang ada di album foto tersebut adalah foto Warqa,Tidak ada foto tentang Warqa saat masih kecil
SMA ku merupakan sekolah berasrama.,"siswa-siswi yang masuk kesana, dilarang berpacaran agar tidak terjadi hal-hal yang tidak diinginkan.","Namun begitu, ada banyak sekali cara yang diciptakan oleh siswa-siswi disana agar masih dapat menjalin asmara.","Seperti berpura-pura belajar bersama, pura-pura ada urusan osis, dan berbagai pura-pura lainnya.",Namun begitu siswa siswi disana masih tetap memegang teguh norma yang berlaku.,Seorang siswa juga pernah memiliki hubungan asmara dengan seorang guru muda.
Anton senang mempelajari peta dunia,Anton bahkan menghafal peta Indonesia,Anton menguasai mata pelajaran Geografi,Anton berharap suatu hari dapat berkeliling dunia,Anton mengambil jurusan IPS saat SMA,Anton malas menghafal peta
Keluarga berperan penting dalam penguatan karakter anak,Keluarga yang harmonis akan menghadirkan pribadi anak yang menyenangkan,Keluarga yang broken home akan menciptakan pribadi yang buruk bagi anak,Seorang anak berhak mendapatkan kasih sayang dari kedua orangtuanya,Keluarga broken home menjadi cara terbaik dalam mendidik anak,Anak hanya perlu mendapatkan kasih sayang seorang ibu
Memori laptop Vian sudah penuh,Vian ingin membeli laptop baru,Uang Vian belum cukup untuk membeli laptop,Vian memutuskan untuk menghapus data yang tidak penting,Memori laptop Vian dapat dipakai kembali,Vian tidak dapat memakai laptopnya lagi
Kino dan keluarganya sedang bertamasya ke wahana wisata air,Ia sangat bersemangat untuk mencoba seluncuran air tertinggi disana,"Dengan tergesa-gesa, ia mengambil pelampung di dekatnya",Tiba-tiba seseorang memanggil Kino,Ternyata Kino lupa membayar uang sewa pelampung tersebut,Orang yang memanggilnya menjual minuman dingin
Percy adalah seekor kucing,Percy sangat setia kepada pemiliknya,Percy selalu kembali pulang ke rumah pemiliknya,Percy tidak pernah lupa jalan pulang,Percy tidak membuat khawatir pemiliknya,Percy selalu nyadar jika main terlalu jauh
Myoko harus mengembalikan buku ke perpustakaan,Myoko meminta Liffy untuk menemaninya,Liffy memiliki urusan lain yang harus segera diselesaikan,Liffy meminta maaf kepada Myoko,Liffy tidak bisa menemani Myoko ke perpustakaan,Liffy juga mau mengembalikan buku ke perpustakaa
"""Tanpa disadari sesungguhnya setiap kita akan terus berpindah."" celetuk farhan ditengah keheningan.","""maksudnya?"" tanya yuna.",""" Ya. Berpindah tempat, atau berpindah posisi dengan orangtua seiring bertambahnya usia."" jawab farhan lagi sambil menyedot minuman dingin miliknya.","""iya benar. nanti juga kita akan merasakan menjadi orang tua"" jawab yuna lagi.","""haha makanya ya orang tua sering bilang, nanti kita akan merasakan apa yang mereka rasakan"" farhan tertawa lepas lalu diikuti senyum dari yuna.",Farhan termenung lalu beranjak meninggalkan yuna yang masih minum.
Delvin menaiki delman,Delman membutuhkan kuda untuk berjalan,Pak Con membutuhkan seekor kuda,Kuda Pak Con sedang sakit,Delman Pak Con tidak dapat dikendarai,Kuda Pak Con hilang
Johari memelihara domba dan kambing,Johari akan menjual domba dan kambingnya,Sebentar lagi akan ada perayaan kurban,Johari menjual kambing dan dombanya sebagai hewan kurban,Pembeli yang membeli kambing dan domba Johari akan berkurban,Johari akan berkurban kambing dan domba
Lila dan saudara-saudaranya sedang asyik bermain kejar-kejaran,Mereka berlari kesana kemari tanpa berhati-hati,Tiba-tiba Lila menyenggol vas bunga ibu,Vas itu jatuh ke lantai dan pecah,Lila menangis dan meminta maaf pada ibu,Lila memainkan pecahan vas bunga yang ada di lantai
Ufi mencoba menghubungi Bibil,Bibil tidak mengangkat telefon Ufi,Ufi khawatir dengan keadaan Bibil,Bibil sampai di rumah dengan selamat,Handphone Bibil habis baterai,Ufi pergi bersama Bibil
Baxter memiliki pabrik roti,Baxter terkenal sebagai pembuat roti yang enak,Tetangga Baxter membeli roti darinya,Roti Baxter mulai terkenal hingga ke luar kota,Baxter mempromosikan rotinya,Baxter menjual nasi goreng yang sangat lezat
Jay tengah menekuni budidaya jamur,Ia tertarik setelah menemukan jamur unik ketika karyawisata,Ia memanfaatkan tempat kosong di halaman rumahnya untuk budidaya jamur,Jamur yang ia kembangkan adalah jamur yang dapat di konsumsi,Jamur yang ia budidayakan diolah menjadi keripik yang lezat,Ia jadi gatal-gatal karena jamur
Ciara tidak akan pernah bisa memaafkan penghianat,Ciara tidak rela dirinya dikhianati oleh orang lain,Guro mengkhianati sahabatnya untuk urusannya sendiri,Ciara adalah sahabat Guro,Ciara membenci Guro dan tidak akan memaafkannya,Guro akan selalu dimaafkan oleh Ciara
Rania sedang makan bakso ,Ia menuangkan banyak sekali sambal di mangkuknya,"Saat ia sedang menyuap, baksonya jatuh dan masuk kembali ke mangkuk",Kuahnya tidak sengaja masuk ke mata Rania,Mata Rania menjadi sangat perih terkena kuah bakso,Mata Rania menjadi bagus karena terkena sambal
Esha selalu hidup dengan kesedihan,Esha lupa bagaimana caranya bahagia,Eza mengajarkan Esha untuk bahagia,Eza menjadi alasan Esha untuk tersenyum,Eza adalah sumber kebahagiaan Esha,Esha membenci keberadaa Eza dalam hidupnya
Eka memberikan edukasi kepada warga desa,Eka ingin warga lebih peduli tentang gizi dan kesehatan,Eka merupakan lulusan teknologi pangan,Eka sangat peduli dengan isu kemasyarakatan di desanya,Eka membagikan ilmunya kepada warga desa,Eka tidak peduli dengan kondisi keluarganya
Aisyah ingin mengadakan acara ulang tahun,Aisyah mengundang semua teman dekatnya,Aisyah merayakannya di restoran ternama,Jina tidak datang ke acara ulang tahun Aisyah,Jina bukan teman dekat Aisyah,Aisyah membenci hari ulang tahunnya
Lulu membeli sebuah kerang ,Kerang tersebut menghasilkan mutiara,Lulu menjual mutiara yang ia dapatkan,Lulu mendapatkan banyak uang,Lulu menyimpan uang tersebut,Mutiara tersebut palsu karena merupakan makanan kerang
Kegiatan Pak Herman di setiap Minggu pagi adalah membakar ayam.,Sementara Bu Herman membuat sambal dan memasak nasi.,Pak Herman dan Bu Herman akan membawa masakan mereka ke panti asuhan di dekat rumah.,Mereka juga akan ikut makan di sana bersama anak-anak panti asuhan dan pengurus yang ada.,Kebiasaan ini telah dilakukan selama setahun belakangan oleh Pak Herman dan Bu Herman.,Pak Herman dan Bu Herman terpaksa ikut makan di panti asuhan.
Sore itu Olla sedang membaca buku di ruang tamu.,Tiba-tiba Olla mendengar suara benda terjatuh.,Suaranya berasal dari dapur.,Olla meletakkan bukunya di meja lalu melangkah menuju dapur.,Ternyata ada tumpukan kotak plastik jatuh karena angin dari jendela yang terbuka.,Ternyata ada panci berisi air mendidih di atas kompor yang masih menyala.
Sulistri adalah kembang desa di desa kami,"Mukanya cantik perangainya pun elok, usianya pun baru 17 tahun","Tak heran Pak Jaka, ayahnya selalu menjaga anak gadis nya ini baik-baik",Sudah banyak pemuda datang melamar Sulistri,Tapi selalu ditolak oleh Pak Jaka kedatangannya karena ingin Sulistri menikah di usia 24 tahun,Pak Jaka hidup bahagia dengan Sulistri meski banyak pemuda datang melamar
Kepala Beno memar cukup besar,"Tadi siang, Beno bermain petak umpet bersama sepupu-sepupunya","Lalu, Beno bersembunyi di balik tirai jendela kamar tamu",Ia tidak tahu bahwa jendela itu tidak dikunci,"Saat Beno bersandar, ia terjatuh dan kepalanya terbentur",Ada maling yang masuk dan bertemu Beno
Trisna bekerja sebagai pengawal,Kehadiran Trisna hanya menjadi bayang-bayang,Trisna tidak boleh kehadirannya diketahui orang lain,Trisna bekerja secara sembunyi-sembunyi,Trisna hanya akan bergerak jika ada yang membahayakan tuannya,Trisna membiarkan orang lain mengetahui identitas aslinya
Heri terjangkit penyakit tipes,Untunglah penyakitnya belum terlalu parah,Ia bisa dirawat di rumah,"Hanya saja, makanan yang boleh dimakan Heri dibatasi",Ia disarankan untuk makan makanan yang halus,Sayur dan buah mengandung banyak nutrisi baik
"""tidak biasanya tidur cepat, kepikiran apa?"" ia menghampiriku yang sedang tergeletak di tempat tidur sementara teman-teman lain sibuk mengenang peristiwa masa lalu.","Maklum, ini pertemuan kami setelah satu tahun sibuk dengan urusan masing-masing.","""jangan suuzon, aku hanya lelah beruforia seharian karena bertemu kembali dengan kalian"" jawabku mengalihkan.","""hei, aku tau jam dua titik nol-nol ini masih pagi bagimu"" ia mengomel sambil berdiri sejenak mengambilkanku cemilan.","""yaa aku hanya sedikit overthinking"" jawabku yang sepertinya tidak lagi dapat mengelak dan membuka sesi curhat malam itu.",Ia membuka jendela untuk sedikit mendapat angin malam yang segar.
"Saat bermain ke rumah Elsa, Lila sangat takut","Ketika ia di kamar mandi, tiba-tiba lampunya mati","Saat ia keluar, lampunya menyala kembali padahal tidak ada siapa-siapa",Ternyata lampu di kamar mandi Elsa memiliki sensor gerak,"Jika tidak terdeteksi gerak dalam waktu tertentu, lampunya otomatis redup",Lila meminta Elsa mengganti lampu di kamar mandinya
Tora merasa lapar pada malam hari,Tora mendengar penjual ketoprak di luar rumahnya,Tora memutuskan membeli ketoprak,Tora memesan ketoprak tanpa kacang,Tora tidak menyukai kacang,Tora menahan laparnya dengan tidur
Hari ini ibu mengajak Lili ke pasar,Mereka akan membeli pakaian rumah untuk Lili,Pakaian rumah Lili semuanya sudah kekecilan,Ibu membelikan Lili satu lusin pakaian rumah,Lili senang sekali mendapatkan pakaian baru,Lili tidak suka berbelanja di pusat perbelanjaan
Memiliki tubuh yang mungil tidak selalu merugikan,Lena justru senang memiliki tubuh mungil,"Saat wisata, teman-temannya selalu memberikan tempat duduk yang enak","Ketika foto bersama, ia pasti terlihat karena berada di depan",Lena merasa beruntung karena tubuhnya mungil,Lena ingin menjadi tinggi seperti teman-temannya
"""an, gua di jogja nih, ajakin main kek"" terdengar suara eci dari ujung telepon. ",Aan terkejut sekaligus senang mendengar pernyataan eci yang tiba-tiba.,Tentu saja aan langsung bergegas menjemput eci agar dapat segera bertemu.,"Eci dan aan sudah berteman semenjak SMA, tak banyak yang tau bahwa masing-masing dari mereka memiliki perasaan yang lebih dari sekedar teman.",Akhirnya mereka bertemu di salah satu restauran di pusat kota jogja dan merencanakan beberapa trip perjalanan.,"""maaf ci, hari ini gua ada acara"" jawab aan yang membuat eci kecewa."
Billy membuat podcast tentang perjuangan,Billy mengundang orang-orang penting,Billy membicarakan banyak hal tentang isu politik dan sosial,Billy dapat menggali banyak pengetahuan dari mereka,Pendengar Billy senang mendengarkan podcast buatannya,Billy hanya berbicara sendirian di podcastnya
Ibam berlari mengejar abang batagor yang sudah pergi.,Barusan Ibam membeli batagor yang berhenti di depan rumahnya.,"Belum sempat Ibam mengecek uang kembaliannya, abang batagor telah pergi mendorong gerobaknya.",Uang kembalian yang diberikan kepada Ibam kelebihan jumlahnya.,Ibam pun berusaha mengejar abang batagor untuk memberikan kelebihan uangnya.,Ibam pun berusaha mengejar abang batagor untuk membeli batagor lagi.
Lilah mencari kafe yang nyaman,Lilah sangat suka memandang langit,Lilah suka berada di alam,Lilah menemukan kafe yang sesuai keinginannya,Lilah makan di kafe yang dekat dengan alam,Lilah makan di kafe yang tertutup
"Berat sekali lidahku mengucapkan kata ""sampai jumpa"" ketika akhirnya pagar kosan sudah menyambut. ",Jangan tanya malam itu aku tidur pukul berapa.,Bagaimana bisa memejamkan mata dalam pikiran yang sedang berkecamuk dan hati yang tidak karuan.,Aku berharap akan ada telepon darinya.,"Namun kala itu tidak ada dering telepon, mungkin pikirannya sedang kacau pula.",Aku meneleponnya agar sedikit tenang.
"""Aku tidak akan menerimamu jika tidak ada bunga mawar asli"" aku berlari menuju parkiran sambil mencibirnya.","Katanya, ia akan mengungkapkan perasaan padaku karena hari itu tanggalnya bagus.",Sesungguhnya aku tidak begitu menginginkan bunga mawar.,Hanya saja aku meminta dibelikan mawar karena aku masih ragu untuk menerima perasaannya.,"Namun siapa sangka, malam itu ia datang membawa setangkai bunga mawar asli untukku.",Ia adalah teman pertamaku di jurusan.
"Sepulang sekolah, ayu kembali melanjutkan tulisannya.","Kali ini ia menulis novel romansa, yang terinspirasi dari kisahnya sendiri.",Patah hati menjadi hal yang menguntungkan bagi ayu karena ia mendapatkan ide baru untuk menulis.,Sejauh ini ayu sudah menerbitkan tiga buku novel dengan genre berbeda.,"Buku pertama bergenre fantasi, buku kedua bergenre horror, serta buku ketiganya bergenre romansa.",Ayu sangat menyukai rumah barunya karena berada di kawasan yang rimbun pepohonan.
Safina mengalami patah tulang kaki,Safina membutuhkan orang lain untuk membantunya berdiri,Safina membutuhkan tongkat untuk berjalan,Safina tidak bisa menjalani kehidupannya dengan normal,Kehidupan Safina berubah,Safina dapat berlari dengan cepat
Pekerjaan yang dilakukan Nino tidaklah mudah,Ia bekerja sebagai maskot sebuah restoran cepat saji,Nino harus memakai kostum yang panas,"Di musim kemarau, pekerjaan yang ia lakukan terasa sangat sulit",Ia harus bertahan mengenakan kostum di cuaca yang sangat panas,Nino ingin mendesain kostum baru untuk maskotnya
Karin sangat sibuk seminggu ini,Karin tidak sempat mencuci baju,Karin mengirim pakaian kotornya ke tempat cuci kiloan,Karin dapat menyelesaikan pekerjaannya,Karin fokus untuk menyelesaikan pekerjaannya,Karin bisa mencuci bajunya sendiri di minggu tersebut
Josa menyukai fajar,Linggar menyukai senja,Josa selalu menanti pagi datang,Linggar menanti datangnya malam,Josa dan Linggar tidak dapat menikmati langit bersama,Linggar akan menanti pagi untuk menyaksikan fajar
Nico berjalan di jalanan yang gelap,Nico membawa suatu lentera,Nico menjaga agar lampu di lenteranya tidak mati,Nico tidak bisa melihat jalan jika lenteranya mati,Nico sangat bergantng terhadap lentera yang ia bawa,Nico dapat melihat jalanan dalam kegelapan
Penyembelihan hewan kurban di sekolah Azizah dilaksanakan sehari setelah Iduladha.,Sekolah tidak mewajibkan muridnya melihat proses penyembelihan hewan kurban.,Namun Azizah dan teman-temannya saling berjanji datang ke sekolah.,Mereka ingin melihat hewan kurban dari kelas mereka ketika disembelih.,Hasil patungan anak-anak sekelas berhasil dibelikan seekor sapi untuk hewan kurban.,Hasil patungan anak-anak sekelas dibuat untuk makan-makan di restoran.
Muri ingin membuat roti lapis,Muri mencari bahan-bahan yang bisa ia pakai di rumah,Muri bertanya letak beberapa bahan kepada pembantunya,Muri memasak sendiri roti lapis yang dia inginkan,Muri anak yang mandiri,Muri menyuruh pembantunya membuatkan roti lapis
Keluarga Mamat sedang terjebak macet,Mereka baru saja pulang dari kampung,Di tengah perjalanan adik Mamat ingin pergi ke toilet,Orangtua Mamat langsung panik,Mereka panik karena rest area masih cukup jauh,Mobil mereka tiba-tiba pindah jalur
Panca tidak pernah menyukai tugas merangkum dari Bu Aida.,Panca merasa rangkuman buatannya tidak bisa memuat pokok-pokok yang dibutuhkan.,"Setiap kali merangkum, Panca selalu berakhir dengan menyalin seluruh materi yang ada.",Bu Aida yang mengetahui kebingungan Panca memanggilnya ke ruang guru.,Bu Aida menawarkan pelajaran tambahan untuk Panca mengenai bagaimana membuat rangkuman yang baik agar Panca tidak lagi kebingungan.,Bu Aida menawarkan Panca untuk tidak usah mengerjakan tugas merangkum jika memang tidak suka.
Mina pergi ke dokter kulit,Sejak minggu lalu kulit wajahnya mengelupas,Dokter kulit memeriksa kondisi wajah Mina,Ternyata Mina tidak cocok dengan pembersih wajahnya yang baru,Dokter memberinya obat untuk menyembuhkan kulit wajah Mina,Mina marah pada dokter karena berbohong
Bulan membelokkan sepedanya ke arah kiri.,Sebenarnya Bulan ingin mengambil jalan lurus.,Namun anjing yang duduk jauh di depannya mengubah pikiran Bulan.,Bulan takut dengan anjing.,Bulan memilih berbelok saja walaupun artinya ia memutar lebih jauh.,Bulan memilih memelihara kucing.
"Salsabila mengelus kepala kucingnya, Iru.",Iru mengeong manja.,Iru melompat ke pangkuan Salsabila yang sedang duduk bersila.,Iru langsung duduk dengan nyaman sambil mengeong lagi.,Salsabila tertawa melihat tingkah Iru sambil memeluk Iru gemas.,Salsabila bangkit dari duduknya.
"Tiga bulan sekali, Universitas Harapan mengadakan acara donor darah",Acara tersebut diselenggarakan oleh universitas,Mahasiswa juga diperbolehkan ikut serta donor darah,Acara ini diselenggarakan selama satu hari penuh,"Dengan adanya acara ini, universitas berharap bisa membantu mereka yang membutuhkan darah",Donor darah sangat menarik karena mendapatkan makanan setelahnya
Jiro mengikuti lomba paduan suara,Jiro tidak bisa menyanyi dengan bagus,Jiro diterima pada seleksi menjadi paduan suara,Jiro berlatih demgan keras,Jiro mengantarkan tim paduan suaranya menjadi juara,Jiro tidak mau mengikuti lomba apapun
Ratih dikirim ke pesantren oleh keluarganya,Ratih tidak mau dimasukkan ke pesantren,Ratih melakukan pemberontakan di pesantren tersebut,Ratih tidak mau menaati peraturan di pesantren,Pihak pesantren mengeluarkan Ratih,Ratih senang berada di pesantren
Pelajar mengalami pembelajaran jarak jauh,Virus Covid-19 menyebabkan manusia harus menjaga jarak,Penerapan pembelajaran jarak jauh membuat murid-murid tidak berinteraksi secara langsung,Pelajar dapat belajar dengan aman di rumah mereka masing-masing,Pembelajaran jarak jauh mengurangi resiko penularan virus Covid-19,Pelajar tertular virus Covid-19 karena penerapan pembelajaran jarak jauh
Halaman rumah Pak Wahyu dipenuhi berbagai macam tanaman.,"Ada banyak pohon seperti mangga, jeruk purut, dan cabai rawit.","Ada juga tanaman hias seperti kembang sepatu, kuping gajah, dan pakis Jepang.","Setiap hari, Pak Wahyu selalu menyirami tanamannya.",Pak Wahyu juga tidak lupa untuk memberi pupuk agar tanamannya tumbuh semakin subur.,Pak Wahyu melupakan kucingnya yang belum diberi makan.
Kunci dari keberhasilan adalah konsisten ketika melakukan sesuatu,Riha tidak bisa melakukan sesuatu yang sama berulang-ulang,Riha lebih menyukai tantangan,Riha tidak ingin melakukan hak yang membosankan,"Terkadang, menjadi seseorang yang konsisten justru membosankan",Rihanna adalah orang yang selalu mengulang kegiatannya
Ibu suka merangkai bunga,Ibu meminta kakak membeli bunga di toko online,Kakak membelikan bunga yang terlalu kecil,Ibu protes dengan bunga yang dibeli kakak,Bunga tersebut tidak sesuai dengan keinginan ibu,Kakak membelikan ibu rumput palsu
Saya telah menyukainya sejak dulu,Tapi saya tidak mampu mengungkapkannya,Sebenarnya dia juga menyukaiku,Ku tau ini dari temanku,Sampai sekarang kita hanya berteman biasa,Sampai sekarang aku dan dia berlomba menjadi pahlawan
Adik sangat suka membaca dongeng,Ibu selalu membacakan dongeng sebelum tidur,Ibu dan ayah sedang pergi ke Tuban selama dua hari,Adik tidak bisa tidur,Adik hanya bisa tidur apabila ibu membacakannya dongeng pengantar tidur,Ibu pergi bersama adik ke daerah Tuban
Mina sangat khawatir pada anak bungsunya,Anaknya baru saja berusia satu tahun,"Belum lama ini, anaknya bisa berjalan dengan lancar","Sejak bisa berjalan, anaknya sangat aktif","Lepas dari pengawasan sedikit saja, anaknya bisa menghilang entah kemana",Anak usia satu tahun seharusnya tidak boleh banyak berjalan
Ethan selalu berpikir tentang masa depan,Ethan selalu khawatir masa depannya akan hancur ,Ethan belajar dengan sangat rajin untuk mengejar cita-citanya,Ethan berhasil menjadi Sarjana Ilmu Komputer yang dicita-citakannya,Ethan berhasil membuat masa depannya cemerlang,Masa depan Ethan hancur
Fira dibayangi oleh hantu masa lalunya,Fira sulit melupakan trauma yang pernah ia alami,Fira takut nantinya ia akan mengalami kejadian tersebut lagi,Fira tidak ingin mengalami kejadian tersebut dua kali,Ada kejadian di masa lalu Fira yang membuatnya takut,Fira tidak bisa mengingat apapun dari masa lalunya
Ivana berusaha mengusir kucing yang dilihatnya di ruang tamunya dengan suara.,Ivana tidak menyadari kapan kucing tersebut masuk.,Ivana menghampiri tempat duduk si kucing karena si kucing tidak juga pergi.,Si kucing langsung berlari menuju pintu rumah Ivana yang terbuka.,Ivana segera menutup pintu rumah begitu si kucing keluar.,Ivana segera menganggap kucing tadi sebagai kucing peliharaannya.
Joana dan Ibu berziarah ke makam Ayah.,Sudah dua tahun Ayah meninggal.,Hari ini adalah hari ulang tahun Ayah.,Joana dan Ibu memiliki kebiasaan untuk berziarah di hari ulang tahun Ayah.,Joana berjongkok di samping makam Ayah sambil mengangkat tangan untuk berdoa sementara Ibu menaburkan bunga.,Joana lupa di mana makam Ayah.
Laras bercita-cita menjadi PNS,Saat berkuliah dia memilih jurusan Akuntansi,Ia lulus cumlaude dengan IPK yang mengagumkan,Ketika melamar kerja sebagai aparat negara semuanya juga berjalan lancar,Kini Laras seorang aparat sipil di propinsi Bengkulu,Laras menjadi ahli akuntan di sebuah kota swasta di Jakarta
Lila sangat dekat dengan adik-adiknya,"Sejak kecil, mereka tinggal di rumah kakek",Orangtua mereka sibuk bekerja di luar negeri,Lila yang mengurus adik-adiknya setiap hari sejak kecil,"Maka dari itu, Lila sangat dekat dengan mereka",Lila sedang mengumpulkan uang untuk ke luar negeri
Ibrahim dan Malik tidak pernah bisa berdamai,Ibrahim menyimpan dendam kepada Malik,Malik pernah mengetahui dendam yang disimpan oleh Ibrahim,Malik merasa tidak melakukan kesalahan apapun kepada Ibrahim,Ibrahim seolah ingin melukai Malik dalam hidupnya,Ibrahim dan Malik adalah sepasang sahabat
Januar bersembunyi di balik pintu kamar kakaknya.,Ia sedang menghindari dari Ibu yang menyuruhnya tidur siang.,"Januar mengira Ibu hanya akan mencarinya ke kamar Januar, tidak akan mengecek kamar kakaknya.",Padahal Ibu sudah melihat dari kejauhan bayangan badan Januar yang terpantul di bawah pintu.,Ibu pun diam-diam mendekati Januar dan langsung memeluknya agar tidak kabur lagi.,Ibu pun diam-diam mendekati Januar dan menyuapinya dengan nasi yang dibawa Ibu.
Aloysius adalah seorang petarung,Aloysius akan melawan siapapun yang berani menantangnya,Aloysius tidak pernah kalah,Aloysius tidak pernah takut pada lawannya,Aloysius menang melawan musuh barunya,Aloysius menyerah pada pertandingan pertamanya
Emil sedang suka membuat kalung,Kalung itu dibuat dari benang nilon dan manik-manik,Manik-manik yang ia gunakan berwarna-warni,Ia juga menggunakan manik-manik dengan bentuk yang unik,Kini Emil sudah memiliki lebih dari lima puluh kalung buatan sendiri,Emil anak yang tidak pandai bersosialisasi
Mata Jasmine terbelalak.,Ia tidak percaya apa yang dilihatnya.,"Kucingnya, Atang, telah duduk di depan pintu rumahnya.",Jasmine mengira Atang tidak akan kembali setelah sebulan menghilang dan ia cari pun tidak juga ketemu.,Jasmine menggendong Atang gemas dan dibalas Atang dengan mengeong tanda meminta makan.,"Jasmine menggendong Atang, ia berniat memberikan Atang kepada tetangganya saja."
Hari ini cukup tenang.,"Matahari bersinar dengan lembut, dan tidak ada angin kencang atau badai pembuat muram suasana. ","Namun sepertinya gemuruh bermuara di kepala nara, ia sedang gusar.",Untungnya sebuah dering telepon dari yang tersayang sedikit menenangkan dirinya.,Karena dengan begitu ia dapat berbagi tentang apapun yang ia alami seharian.,Nara panik karena ia belum menyelesaikan tugasnya.
Orang tua Dio akrab dengan teman-teman Dio.,"Teman-teman Dio bahkan memanggil orang tua Dio dengan Ayah dan Bunda, sama seperti panggilan Dio.","Setiap main ke rumah Dio, mereka heboh memanggil Bunda untuk meminta makan.","Jika bermain di akhir pekan, Ayah akan ditarik untuk ikut bermain bersama mereka.",Ayah dan Bunda hanya bisa tertawa melihat tingkah teman-teman Dio.,Ayah dan Bunda beda umurnya cukup jauh.
Mama membeli banyak donat,Kakak meminta donat milik mama,Mama memberikan semua donat kepada kakak,Adik meminta donat mama,Adik tidak mendapatkan donat dari mama,Kakak dimarahi mama karena meminta donat
Fhizra dan vira berjalan dengan percaya diri melewati portal di gerbang masuk kantor tempat mereka praktek lapangan.,"""hei, mau kemana?"" tiba-tiba ada suara dari pos penjagaan ditepi portal.",Terlihat beberapa petugas berseragam dengan tatapan sangar disana.,"""kami mahasiswa yang sedang kerja praktek di bagian TI pak"" ucap fhizra setengah gagap.","""Lain kali harus pakai nametag ya, supaya kami bisa mengenali. sudah sana masuk"" jawab salah seorang penjaga berwajah sangar namun ternyata memiliki suara yang lembut.","""tidak mungkin. ayo kalian ambil posisi push up"" ucap salah seorang penjaga."
Tekad Zata sudah bulat.,Ia akan menolak tawaran dari teman-temannya.,Mereka mengajak Zata liburan bersama di malam tahun baru.,Namun Zata diminta Ibu untuk menghabiskan malam tahun baru bersama keluarga setelah libur natal kemarin sudah pergi bersama temannya.,Zata pun segera memberi tahu temannya lewat telepon tentang ia yang tidak bisa ikut.,Zata pun segera meminta temannya membiayai liburannya.
Lysia menguasai 3 bahasa,"Lysia mampu berbicara dengan bahasa Indonesia, Jepang, dan Inggris",Lysia bekerja sebagai seorang penerjemah buku,Lysia tidak menguasai bahasa Arab dan Jerman,Salah satu dari 3 bahasa yang dikuasai Lysia adalah bahasa Jepang,Lysia dapat menerjemahkan buku bahasa Arab
Geri dan sepupu-sepupunya senang bermain kemah-kemahan,"Setiap ke rumah nenek, mereka pasti berkemah dibawah meja makan nenek",Meja kayu besar itu ditutupi dengan kain di sekelilingnya,"Lalu, mereka membawa cemilan yang diberikan nenek untuk mereka","Meskipun sederhana, tetapi mereka senang karena bisa bermain bersama",Nenek menjadikan rumahnya tempat berkemah
Zeta berbelanja bahan untuk kuenya di toko kue.,"Zeta membutuhkan tepung, mentega, dan cokelat.",Namun ternyata toko kue tersebut kehabisan mentega.,Pemilik toko menyarankan Zeta untuk kembali lagi sore hari karena stok baru akan datang saat itu.,Zeta menyanggupi dan memutuskan untuk sekalian saja membeli tepung dan cokelatnya nanti.,Zeta menyanggupi dan memutuskan untuk menunggu sampai sore di toko tersebut.
Suasana di rumah saat itu sedang hening,"Tiba-tiba, ibu mendengar suara jeritan dari kamar anak-anaknya",Ia khawatir terjadi sesuatu pada mereka,"Sesampainya di kamar, ibu sangat terkejut",Ternyata mereka berdua sedang bertengkar berebut boneka,Anak-anaknya sedang bermain gitar
"""Tahu apa kau tentang hidupku dan hidup orang2?"" Akhirnya aku berhenti dan duduk di salah satu kursi taman, mengunyah satu per satu tusuk siomay yang ia berikan tadi.","""Baiklah. Setiap orang punya rahasia ya sepertinya?"" Entah bagaimana jadinya, ia ikut duduk disampingku.","""Ya benar! Seperti parameter kebahagiaan yang berbeda beda, begitu pula dengan kesedihan. Jangan sesekali kau sebut tentang pengalaman siapa yang lebih sedih. Karna kita tidak pernah tahu rasanya menjadi orang lain"" ucapanku mengalir setelah tusukan terakhir siomay masuk kedalam mulutku.","Ia terdiam, sepertinya kali ini ia sadar bahwa aku benar2 marah.",Aku membuang bungkus siomay dan beranjak pergi meninggalkannya yang masih terdiam di kursi taman. ,Ia sangat tampan memakai baju berwarna hitam dan jaket jeans itu.
Setiap berhak menadapatkan pendidikan terbaik,Jio hanya anak jalanan,Jio tidak memiliki orang tua ,Jio tidak memiliki biaya untuk bersekolah,Jio mendapatkan beasiswa dari pemerintah untuk melanjutkan sekolahnya,Jio membantah perkataan orang tuanya yang menyuruhnya untuk bersekolah
