Kalimat-1,Kalimat-2,Kalimat-3,Kalimat-4,Correct Ending,Incorrect Ending
"After becoming a student, Rendi wanted to be active in organizations",There are so many organizations that he wants to choose,He had promised his friends to join the same organization,"Unfortunately, Rendi's parents disagreed with Rendi",They wanted Rendi to focus on his studies,"To become a student, you have to go through an entrance test first"
Rimba loves silence,Rimba will be angry if his calm is disturbed,The jungle doesn't like noise,The jungle has hearing problems,Jungle ears will hurt if there is a noise,The jungle likes to be in noisy places
Zahra learned something new in today's lesson,Zahra realized that the earth was not well,Global warming occurs and damages many things,The Arctic will disappear if global warming continues,Penguins and polar bears will lose their homes,Nothing will happen if global warming is allowed
Vivi narrowed her eyes.,Vivi's face was highlighted by a flashlight from a cellphone.,"Her sister, Kiki, immediately apologized for accidentally glaring Vivi's face.",Vivi and Kiki's house goes out of lights.,The two of them were walking towards the kitchen to get a candle.,They both are cooking instant noodles in the kitchen.
Suci is good at playing the bow,The arrows that Holy throws can shoot right on target,Suci has often played this sport since childhood,Suci does it when there is free time,Suci can release arrows towards the target,Suci is not strong enough to lift the bow
"Every morning, Pak Herman's family has bread breakfast",He and his wife really like brown bread,The eldest child usually has breakfast with cheese bread,The second child eats toast with eggs,"However, Pak Herman's youngest child, who is still a baby, is given breakfast with baby porridge",Pak Herman's son who is still a baby is given toast
Andira embraced Islam,Gabriel is a Christian,Andira's holy book is the Qur'an,Gabriel's holy book is the gospel,Andira and Gabriel's religions are different,The holy book of Christianity is the Qur'an
Nina's face flushed easily,"Every exercise, his face will turn red","If he's embarrassed, his face will turn red too",Her friends nicknamed Nina the boiled shrimp,They felt that Nina resembled a shrimp that turned red when heated,Shrimp contains nutrients that are good for the body
Hazel has a toothache,Mama told Hazel to go to the dental dentist,Hazel refused for fear of having her teeth pulled out,Mama forced Hazel to leave immediately,Hazel had to obey Mom's orders,All of Hazel's teeth are in good health
"""Anii .. I passed? Hwaa !!"" Budi, who was pale, immediately hugged Ani tightly after hearing her read her graduation letter.","""hmm"" replied ani flatly.","""Why are you not happy ani? Don't worry, I won't be ambivalent there"" Budi pouted laughed at me who was worried about him.",A few minutes of silence and ani did not answer.,"""You are halu, I'm not worried about you, I just thought who would be my ojek if you go"" answered ani, but Budi knows that ani is always so proud.",Ani tied her hair that was already waist.
Raun gives a scarf to Ajeng,Ajeng asks Raun the reason,Raun gave it as a birthday present,Ajeng is very grateful to Raun,Ajeng wears the scarf Raun gave him,Ajeng gets angry with the red scarf and throws it away
Nora does not sell clothes in retail,Nora serves buyers who sell wholesale,Nora gets more profit when buyers buy wholesale,Nora has made a lot of money,"Buyers who come, prefer to buy wholesale",Nora accepts both wholesale and retail purchases
Sita is shopping for cooking ingredients at the supermarket.,"After taking all her needs, Sita immediately stood in line at the cashier.","When it was her turn, Sita realized that the money she had was not enough to pay for her purchases.","Sita asked if you could pay with a debit card, and the cashier answered.",Sita also paid with a debit card.,Sita does not have a debit card.
Arina is looking for gifts at the shopping center,Her cousin just gave birth,He also wanted to give a gift to his nephew,Arina decided to buy baby clothes,He also bought feeding utensils for the baby,Newborn babies are usually in the nursery
Lily failed to complete the last mission,Lily got a harsh reprimand from her boss,Lily was released for 1 month,Lily trains hard to make amends,Lily didn't work for 1 month,Lily is forgiven and gets a new mission
"Tisya and Tasyi always go to school in the same place from SD, SMP, to SMA.","When they were in college, then they took different majors according to their respective interests.","However, their campus is still the same.",They also decided to live together in an apartment near the campus.,Tasya and Tasyi are inseparable friends.,Tasya and Tasyi are eternal enemies.
Prita really missed the busy complex atmosphere,When he was a child the complex was always crowded in the afternoon,The children come out to play together,Now it is rare for children to come out to play in the afternoons,They are busy at home with their homework or gadgets,The sun in the afternoon is not as hot as the sun at noon
Emma is very fond of plants,Emma's favorite flower is roses,Emma often buys flowers for decoration at home,Emma has a garden behind the garage,Emma bought flowers to plant in her house,Emma is allergic to flowers
Ezran has a female friend,Mawar only has one male best friend,Ezran had valuable experience with his best friend,Ezran's precious experience was about understanding the meaning of life,Mawar once taught Ezran about the meaning of life,Ezran did not have any valuable experience with Mawar
Amir is going to marry Vanni,They held a wedding in the hotel hall,Vanni wore a white wedding dress,Amir seemed to see an angel from the sky,Vanni is very beautiful,Amir does not want to be married to Vanni
Warqa went to papa's warehouse,Warqa found a photo album,The photo album was made after Warqa was born,Warqa saw a photo of a baby in the photo album,The baby in the photo album is a photo of Warqa,There are no photos about Warqa when he was a child
My high school is a boarding school.,students who enter there are prohibited from dating so that unwanted things do not happen.,"However, there are many ways that students there can still have romance.","Like pretending to study together, pretending there is student council business, and various other pretenses.","However, the students there still adhere to the prevailing norms.",A student also had an affair with a young teacher.
Anton loves studying maps of the world,Anton even memorized a map of Indonesia,Anton is good at Geography,Anton hopes that one day he can travel the world,Anton majored in social studies in high school,Anton is lazy to memorize maps
Family plays an important role in strengthening children's character,A harmonious family will present a pleasant child's personality,Broken home families will create bad personalities for children,A child is entitled to love from both parents,Broken home families are the best way to educate children,The child only needs to have the love of a mother
Vian's laptop memory is full,Vian wants to buy a new laptop,Vian's money is not enough to buy a laptop,Vian decided to delete unnecessary data,Vian laptop memory is reusable,Vian can't use his laptop anymore
Kino and his family are on an excursion to a water tourism vehicle,He is very excited to try the highest water slide there,"In haste, he picked up a nearby buoy",Suddenly someone called Kino,It turned out that Kino forgot to pay the rent for the buoy,The person who called him sold cold drinks
Percy is a cat,Percy is very loyal to his owner,Percy always came back to his owner's house,Percy never forgot his way home,Percy didn't worry the owner,Percy always realized playing too far
Myoko must return the book to the library,Myoko asked Liffy to accompany her,Liffy had other things to do right away,Liffy apologized to Myoko,Liffy couldn't accompany Myoko to the library,Liffy also wants to return books to libraries
"""Without realizing it, each of us will continue to move."" said Farhan in the silence.","""what do you mean?"" asked Yuna.","""Yes. Moving places, or changing positions with parents as you get older."" Farhan replied again while sipping his cold drink.","""Yeah right. Later we will also feel like parents"" Yuna replied again.","""haha that's why parents often say, later we will feel what they feel"" Farhan laughed out loud, followed by a smile from Yuna.",Farhan was pensive then left Yuna who was still drinking.
Delvin got into the wagon,Delman needs a horse to walk,Mr. Con needs a horse,Mr. Con's horse is sick,Delman Pak Con is not driveable,Mr. Con's horse is missing
Johari raises sheep and goats,Johari will sell his sheep and goats,Soon there will be a celebration of sacrifice,Johari sells his goats and sheep as sacrificial animals,Buyers who buy Johari's goats and sheep will make sacrifices,Johari will sacrifice goats and sheep
Lila and her siblings are busy playing romp,They ran here and there without being careful,Suddenly Lila touched Mother's flower vase,The vase fell on the floor and broke,Lila cried and apologized to mom,Lila plays with the broken flower vase on the floor
Ufi tries to contact Bibil,Bibil did not pick up Ufi's phone,Ufi is worried about Bibil's condition,Bibil arrived home safely,The Bibil mobile runs out of battery,Ufi goes with Bibil
Baxter owns a bakery,Baxter is well known for being a great baker,Baxter's neighbor buys bread from him,Baxter Bread became famous outside the city,Baxter promotes the bread,Baxter sells very delicious fried rice
Jay is currently working on mushroom cultivation,He was interested after finding a unique mushroom during a field trip,He used the empty space in his yard for mushroom cultivation,The mushrooms he develops are edible mushrooms,The mushrooms he cultivates are processed into delicious chips,He became itchy because of the fungus
Ciara can never forgive a traitor,Ciara did not want to be betrayed by others,Guro betrayed his best friend for his own business,Ciara is Guro's best friend,Ciara hates Guro and will not forgive him,Guro will always be forgiven by Ciara
Rania is eating meatball,He poured a lot of chili sauce in his bowl,"As he was bribing, the meatball fell and went back into the bowl",The broth accidentally gets into Rania's eyes,Rania's eyes became very sore from the meatball sauce,Rania's eyes become good because of the chili sauce
Esha always lives with sadness,Esha forgot how to be happy,Eza teaches Esha to be happy,Eza became Esha's reason to smile,Eza is the source of Esha's happiness,Esha hated Eza in her life
Eka provides education to villagers,Eka wants residents to care more about nutrition and health,Eka is a food technology graduate,Eka really cares about social issues in his village,Eka shares his knowledge with the villagers,Eka doesn't care about the condition of his family
Aisyah wants to hold a birthday event,Aisyah invited all her close friends,Aisyah celebrates at a famous restaurant,Jina didn't come to Aisyah's birthday,Jina is not Aisyah's close friend,Aisyah hates her birthday
Lulu bought a clam,The shells produce pearls,Lulu sold the pearls she got,Lulu made a lot of money,Lulu kept the money,The pearls are fake because they are shellfish food
Mr. Herman's activity every Sunday morning is burning chickens.,"Meanwhile, Mrs. Herman made chili sauce and cooked rice.",Pak Herman and Bu Herman will bring their food to a nearby orphanage.,They will also eat there with the orphanage children and the existing caretakers.,This habit has been practiced for the past year by Pak Herman and Bu Herman.,Pak Herman and Bu Herman were forced to eat at the orphanage.
That afternoon Olla was reading a book in the living room.,Suddenly Olla heard the sound of falling objects.,His voice came from the kitchen.,Olla put his book on the table then walked towards the kitchen.,It turned out that a pile of plastic boxes had fallen in the wind from the open window.,It turned out that there was a pot of boiling water on the stove that was still burning.
Sulistri is a village flower in our village,"Her face is beautiful, her temper is beautiful, she is only 17 years old","No wonder Mr. Jaka, his father always looks after his daughter",Many young people have come to apply for Sulistri,But Mr. Jaka always refused his arrival because he wanted Sulistri to get married at the age of 24,Pak Jaka lives happily with Sulistri even though many young people come to propose
Beno's head was quite bruised,"This afternoon, Beno was playing hide and seek with his cousins","Then, Beno hid behind the curtains of the guest room window",He did not know that the window was not locked,"When Beno leaned back, he fell and hit his head",There is a thief who comes in and meets Beno
Trisna worked as a bodyguard,Trisna's presence was only a shadow,Trisna must not be known to other people,Trisna worked secretly,Trisna will only move if someone harms her master,Trisna let others know her true identity
Heri contracted typhus,"Fortunately, the disease wasn't too severe",He can be treated at home,"It's just that, the food that Heri can eat is limited",It is advisable to eat a refined diet,Vegetables and fruit contain lots of good nutrients
"""don't usually sleep fast, what thoughts?"" he approached me who was lying on the bed while the other friends were busy reminiscing about past events.","Understandably, this is our meeting after a busy year with our respective affairs.","""Don't suuzon, I'm just tired of having fun all day because I meet you again,"" I replied divertingly.","""hey, I know two o'clock zero-zero is still morning for you"" he grumbled as he stood for a moment to get me a snack.","""yeah I'm just a little overthinking"" I replied, seemingly unable to evade and opened the session that night.",He opened the window to get a little fresh night breeze.
"While playing at Elsa's house, Lila was very scared","When he was in the bathroom, the lights suddenly turned off","When he came out, the lights came back on even though there was no one around",It turns out that the light in Elsa's bathroom has a motion sensor,"If motion is not detected within a certain time, the light will automatically dim",Lila asks Elsa to change the light in her bathroom
Tora feels hungry at night,Tora hears a ketoprak seller outside her house,Tora decided to buy ketoprak,Tora ordered ketoprak without nuts,Tora doesn't like nuts,Tora endured hunger by sleeping
Today mother took Lili to the market,They will buy house clothes for Lili,Lili's clothes are all too small,Mother bought Lili a dozen household clothes,Lili is excited to get new clothes,Lili doesn't like to shop in shopping centers
Having a small body is not always detrimental,Lena is actually happy to have a small body,"When traveling, his friends always provide a good seat","When taking a photo together, he must be visible because he is in the front",Lena feels lucky because her body is tiny,Lena wants to be tall like her friends
"""An, I'm in Jogja, I'm going to play, Grandpa,"" came an eci voice from the end of the phone.",Aan was both surprised and pleased to hear that sudden statement.,"Of course, Aan immediately rushed to pick up Eci so he could meet soon.","Eci and aan have been friends since high school, not many know that each of them has feelings that are more than just friends.",Finally they met at a restaurant in downtown Jogja and planned several trips.,"""Sorry ci, today I have an event"" replied aan which made Eci disappointed."
Billy makes a podcast about the struggle,Billy invited important people,Billy talks a lot about political and social issues,Billy can extract a lot of knowledge from them,Billy's listeners enjoy listening to his podcast,Billy only talks alone on his podcast
Ibam ran after Batagor's brother who had left.,Just now Ibam bought a batagor which stopped in front of his house.,"Ibam had not had time to check his change yet, Batagor's brother had gone pushing his cart.",The change given to Ibam was excess.,Ibam also tried to catch up with Batagor's brother to give him the excess money.,Ibam also tried to chase after Batagor's brother to buy more Batagor.
Look for a cozy cafe,Lilah really likes looking at the sky,Lilah loves to be in nature,Lilah found the cafe she wanted,Go for a bite to eat in cafes that are close to nature,Go to a closed cafe
"My tongue was very hard to say the word ""see you later"" when finally the boarding house was welcoming.",Don't ask what time I slept that night.,How can you close your eyes in a raging mind and a chaotic heart.,I hope there will be a call from him.,"But at that time there was no telephone ringing, maybe his mind was in chaos too.",I called him to calm down a little.
"""I will not accept you if there are no real roses"" I ran towards the parking lot with a sneer.",He said he would confess to me because it was a good date.,Actually I don't really want roses.,It's just that I asked to buy a rose because I was still hesitant to accept his feelings.,"But who would have thought, that night he came with a real rose for me.",He was my first friend in the department.
"After school, Ayu returned to continue her writing.","This time he wrote a romance novel, inspired by his own story.",Broken heart becomes a profitable thing for Ayu because she gets new ideas to write.,"So far, Ayu has published three novels with different genres.","The first book is a fantasy genre, the second book is a horror genre, and the third book is a romance genre.",Ayu really likes her new home because it is in a lush area of ​​trees.
Safina has a broken leg,Safina needed someone else to help her up,Safina needed a walking stick,Safina couldn't live her life normally,Safina's life changed,Safina can run fast
The work that Nino did was not easy,He works as the mascot of a fast food restaurant,Nino must wear a hot costume,"In the dry season, the work he does is very difficult",He had to endure wearing a costume in very hot weather,Nino wants to design a new costume for his mascot
Karin has been very busy this week,Karin didn't have time to wash the clothes,Karin sent her dirty clothes to the kilo laundry,Karin can get the job done,Karin is focused on getting her job done,Karin can wash her own clothes that week
Josa likes dawn,Linggar likes twilight,Josa always waited for morning to come,Linggar waiting for the night to come,Josa and Linggar cannot enjoy the sky together,Linggar will wait for the morning to watch the dawn
Nico walked down the dark street,Nico brought a lantern,Nico kept the light on his lantern from turning off,Nico couldn't see the road when the lantern died,Nico is very dependent on the lantern he carries,Nico could see the street in the dark
The sacrificial animal slaughter at Azizah school is held the day after Eid al-Adha.,Schools do not require students to observe the process of slaughtering sacrificial animals.,But Azizah and her friends promised each other to come to school.,They want to see a sacrificial animal from their class when it is slaughtered.,The result of the collaboration between children from the same class was successful in buying a cow for sacrificial animals.,The results of a joint venture of children in the same class are made to eat at restaurants.
Muri wants to make sandwiches,Muri looks for ingredients that she can use at home,Muri asked her maid where some of the ingredients were,Muri cooked herself the sandwich she wanted,Muri is an independent child,Muri ordered her maid to make sandwiches
Mamat's family is stuck in traffic,They just returned from their village,"On the way, Mamat's sister wanted to go to the toilet",Mamat's parents panicked,They panicked because the rest area was still quite far away,Their car suddenly changed lanes
Panca never liked the summarizing assignment from Mrs. Aida.,Panca felt that his summary could not contain the items needed.,"Every time you summarize, Panca always ends up copying all the existing material.",Bu Aida who knew Panca's confusion called her to the teacher's room.,Bu Aida offers additional lessons for Panca on how to make a good summary so that Panca is no longer confused.,Bu Aida offered Panca not to do the summarizing task if she really didn't like it.
Mina went to a dermatologist,Since last week her facial skin has peeled off,The dermatologist checks Mina's face,It turns out that Mina doesn't get along well with her new facial cleanser,The doctor gave her medicine to heal Mina's facial skin,Mina gets angry at the doctor for lying
The moon turns its bicycle to the left.,Actually the Moon wants to take the straight path.,But the dog sitting far in front of him changed the Moon's mind.,Moon is afraid of dogs.,The moon chose to turn only even though it meant that it turned further.,The moon chose to keep a cat.
"Salsabila stroked her cat's head, Iru.",Iru meowed spoiled.,"Iru jumped into Salsabila's lap, who was sitting cross-legged.",Iru immediately sat down comfortably while meowing again.,Salsabila laughed at Iru's behavior while hugging Iru anxiously.,Salsabila got up from her seat.
"Every three months, Universitas Harapan holds a blood donation event",The event is organized by the university,Students are also allowed to participate in blood donations,This event was held for one full day,"With this event, the university hopes to help those who need blood",Blood donation is very interesting because it gets food afterwards
Jiro joins the choir competition,Jiro can't sing well,Jiro was accepted at the selection to become a choir,Jiro trains hard,Jiro led his choir team to become champions,Jiro doesn't want to participate in any competitions
Ratih was sent to a boarding school by her family,Ratih doesn't want to be admitted to the pesantren,Ratih staged a rebellion at the boarding school,Ratih doesn't want to obey the rules at the pesantren,The pesantren issued Ratih,Ratih is happy to be at the pesantren
Students experience distance learning,The Covid-19 virus causes humans to keep their distance,The application of distance learning keeps students from interacting directly,Students can study safely in their own homes,Distance learning reduces the risk of transmitting the Covid-19 virus,Students contracted the Covid-19 virus due to the application of distance learning
Wahyu's house yard is filled with various kinds of plants.,"There are many trees such as mango, kaffir lime, and cayenne pepper.","There are also ornamental plants such as hibiscus, elephant ears, and Japanese ferns.","Every day, Pak Wahyu always watered his plants.",Pak Wahyu also did not forget to give fertilizer so that his plants would grow more fertile.,Pak Wahyu forgot about his cat that had not been fed.
The key to success is being consistent when doing something,Riha can't do the same thing over and over again,Riha prefers a challenge,Riha doesn't want to do boring rights,"Sometimes, being consistent is boring",Rihanna is a person who always repeats her activities
Mom likes flower arrangement,Mother asked sister to buy flowers at an online shop,Brother bought flowers that were too small,Mother protested with the flowers my sister bought,The flower is not in accordance with the wishes of the mother,Brother bought the mother fake grass
I have liked him a long time ago,But I am unable to express it,Actually he also likes me,I know this from my friend,Until now we were just friends,Until now me and him are competing to be heroes
My younger siblings really like to read fairy tales,Mother always read fairy tales before bed,Mother and father were away to Tuban for two days,Little brother can't sleep,The younger siblings can only sleep when the mother reads them bedtime stories,Mother went with her sister to the Tuban area
Mina is very worried about her youngest child,Her son was only one year old,"Not long ago, her son was able to walk smoothly","Since he was able to walk, his son was very active","Apart from the slightest supervision, his child could disappear somewhere",One year olds should not be able to walk much
Ethan always thinks about the future,Ethan was always worried that his future would be ruined,Ethan studied very hard to pursue his goals,Ethan succeeded in becoming the Bachelor of Computer Science that he aspired to aspire to,Ethan manages to make his future bright,Ethan's future was ruined
Fira is overshadowed by the ghost of her past,Fira finds it difficult to forget the trauma she has experienced,Fira is afraid that later she will experience this incident again,Fira did not want to experience this incident twice,There was an incident in Fira's past that scared her,Fira can't remember anything from her past
Ivana tried to shoo the cat she saw in her living room with a voice.,Ivana did not realize when the cat entered.,Ivana approached the cat's seat because the cat did not leave either.,The cat immediately ran towards the open door of Ivana's house.,Ivana immediately closed the door of the house as soon as the cat came out.,Ivana immediately considered the cat as her pet cat.
Joana and Mother made a pilgrimage to my father's grave.,It's been two years my father has died.,Today is Father's birthday.,Joana and Mother had a habit of making pilgrimages on Father's birthday.,"Joana crouched beside Dad's grave, raising her hands to pray while Mother sprinkled flowers.",Joana forgot where Dad's grave was.
Laras dreams of becoming a civil servant,"While studying, he chose to major in Accounting",He graduated cum laude with an impressive GPA,"When applying for work as a state official, everything went well",Now Laras is a civilian in Bengkulu province,Laras became an expert accountant in a private city in Jakarta
Lila is very close to her younger siblings,"Since childhood, they lived in grandfather's house",Their parents are busy working abroad,Lila has taken care of her younger siblings every day since they were little,"Therefore, Lila is very close to them",Lila is raising money to go abroad
Ibrahim and Malik were never able to reconcile,Ibrahim held a grudge against Malik,Malik never knew the grudge that was kept by Ibrahim,Malik felt that he had not done anything wrong to Ibrahim,Ibrahim seemed to want to hurt Malik in his life,Ibrahim and Malik are best friends
Januar hid behind the door of his sister's room.,He was avoiding Mother who told him to take a nap.,"Januar thinks Mother will only look for him in Januar's room, not to check his sister's room.",Even though Mother had seen from a distance the shadow of Januar's body that was reflected under the door.,Mother also quietly approached Januar and immediately hugged him so he wouldn't run away again.,Mother secretly approached Januar and fed him the rice that Mother brought.
Aloysius is a fighter,Aloysius will fight anyone who dares to challenge him,Aloysius never lost,Aloysius was never afraid of his opponent,Aloysius wins against his new enemy,Aloysius gave up his first match
Emil is in the mood for making necklaces,The necklace is made of nylon thread and beads,The beads he uses are colorful,He also uses beads with a unique shape,Now Emil already has more than fifty homemade necklaces,Emil is a child who is not very good at socializing
Jasmine's eyes widened.,He couldn't believe what he saw.,"The cat, Atang, has sat in front of the door of his house.","Jasmine thought Atang would not come back after a month of disappearing, and he couldn't even find her looking for it.",Jasmine is carrying Atang exasperatedly and Atang replies by meowing a sign asking for food.,"Jasmine is carrying Atang, she intends to give Atang to her neighbors only."
It's pretty quiet today.,"The sun was shining softly, and there were no gale-causing winds or storms.","But it seemed that the roar had boiled down to the nara's head, he was in a ruff","Fortunately, a ringing telephone from a dear one calmed him a little.",Because then he can share about whatever he experiences during the day.,Nara panicked because she had not finished her assignment.
Dio's parents get along well with Dio's friends.,"Dio's friends even call Dio's parents Father and Mother, just like Dio's call.","Every time they play at Dio's house, they are excited to call Mother to ask for food.","If you play on the weekend, Dad will be drawn to play with them.",Mother and father could only laugh at the behavior of Dio's friends.,Father and Mother are quite different in age.
Mama bought a lot of donuts,Brother asked for mom's donut,Mama gave all the donuts to my brother,The sister asked for mama's donut,Brother doesn't get donuts from mama,Mama scolded my sister for asking for donuts
Fhizra and vira confidently walked through the portal at the entrance to the office where they had their field practice.,"""hey, where are you going?"" suddenly there was a voice from the guard post at the edge of the portal.",Several officers were seen in uniform with frightening gaze there.,"""We are students who are practicing in the IT department, sir,"" said Fhizra, half stuttering.","""Next time we have to use a nametag, so we can recognize. It's already there,"" answered one of the guards with a frightening face but apparently had a soft voice.","""No way. Let's take a push up position,"" said one of the guards."
Zata's determination was made up.,He will refuse offers from his friends.,They invite Zata to vacation together on New Year's Eve.,"However, Zata was asked by Mother to spend New Year's Eve with her family after last Christmas holiday, she went out with her friends.",Zata immediately notified his friend over the phone about him not being able to come.,Zata immediately asked his friend to pay for his vacation.
Lysia speaks 3 languages,"Lysia is able to speak Indonesian, Japanese and English",Lysia works as a book translator,Lysia does not speak Arabic and German,One of the 3 languages ​​spoken by Lysia is Japanese,Lysia can translate Arabic books
Geri and her cousins ​​enjoyed playing tents,"Every time they go to grandma's house, they must be camping under grandma's dinner table",The large wooden table was covered with a cloth around it,"Then, they brought the snacks that their grandmother gave them","Even though it is simple, they are happy because they can play together",Grandma made her house a camping place
Zeta is shopping for ingredients for her cake at a cake shop.,"Zeta requires flour, butter and chocolate.",But it turns out that the cake shop is running out of butter.,The shop owner advises Zeta to come back again in the afternoon because new stocks will arrive at that time.,Zeta agreed and decided to just buy the flour and chocolate later.,Zeta agreed and decided to wait until evening at the shop.
The atmosphere at home was quiet,"Suddenly, the mother heard screams from the children's room",He was worried that something might happen to them,"Arriving at the room, the mother was very surprised",It turned out that the two of them were fighting over the doll,His children are playing guitar
"""What do you know about my life and people's lives?"" Finally I stopped and sat on one of the park chairs, chewing one by one the dumplings he had given me.","""All right. Everyone has a secret, huh?"" Somehow, he sat beside me.","""That's right! Like different parameters of happiness, so is sadness. Don't occasionally mention whose experience is sadder. Because we never know what it's like to be someone else"" I said flowing after the last stab of dumplings into my mouth.","He was silent, like this time he realized that I was really angry.",I threw away the dumplings wrapper and walked away leaving him still silent on the park bench.,He was very handsome wearing that black shirt and jeans jacket.
Everyone has the right to get the best education,Jio is just a street kid,Jio has no parents,Jio does not have the cost to attend school,Jio received a scholarship from the government to continue his studies,Jio denied what his parents told him to go to school
White light slowly entered the slits of my eyes.,My head hurts.,It took a few minutes before I could really see properly.,"My left hand was put on an IV, and finally I knew where I was.","""Are you awake?"" There was a voice from the right of my bed.","""help ... I'm kidnapped"" shouted someone from next to me."
Raisa is very upset with Beno,They both entered the race as a group,"However, since the first stage Beno worked lazily","Even during the final, only Raisa made a presentation and answered the jury's questions","However, Beno asked for the prize pool to be divided equally",Beno was awarded as the best participant
Fio must attend the orientation period at his school,Fio becomes a victim of hazing,Senior Fio who became the perpetrator was sanctioned by the school,Fio was against his senior's orders,Fio is not a submissive junior,Fio according to when the hazing happened
"Today, Harapan High School has a student exchange program",This student exchange only lasts one week,This student exchange program student came from Japan,Exchange students cannot speak Indonesian,"Fortunately, they can communicate with each other in English even though they are not fluent",The exchange student wants to go home that day
Januko has been taking swimming lessons since she was 5 years old.,Januko is talented.,Her swimming tutor knows that and supports Januko in participating in various competitions.,Januko is a frequent champion.,Januko grew up loving swimming and dreams of becoming a swimming athlete.,Januko grew up loving basketball.
Gibran felt burdened.,He is the only representative from the school to attend the Provincial Physics Olympiad.,"Of course, the school hopes that Gibran can qualify, even become a champion, to the national level.",But Gibran kept thinking about how insecure he was.,"Mr. Anta, Gibran's companion teacher, knows Gibran's anxiety and tries to calm him down.","Mr. Anta, Gibran's assistant teacher, doesn't like Gibran."
Cokki looked down languidly at his shoes.,The front ends of the shoes were wide open.,Cokki's shoes are broken.,The hole that had been small had just gotten bigger as a result of his shoes rubbing against the asphalt.,This happened because Cokki fell while running during sports lessons.,This happened because Cokki burst out laughing.
Marsel is known as a child who never stops talking because he is so busy.,"One time, Marsel did not behave as usual.",Anto asked Marsel if there was something.,"Suddenly Marsel sang the song Happy Birthday, followed by Anto's friends who came to bring a cake.","Anto crept Marsel annoyed while laughing, because all this happened when the last lesson teacher had not yet left the classroom.",Anto invited Marsel to change schools.
Every day Mamat cooks for his younger brother,His mother is always busy with work,"Meanwhile, his younger brother doesn't like fast food",Usually Mamat cooks simple meals,He mostly cooks fried rice and chicken soup,Cooking using an electric stove is safer
"All day, Acha has been panicking.",Acha is worried about your condition.,Hearing how weak my mother was on the phone made Acha even more worried.,Acha is also confused about where he can get the money for your operation costs.,The chat between Arta and Wendy who sat in front of him about the amount of class joint money collected gave Acha an idea.,Arta and Wendy's chat made Acha sleepy.
Nevan likes green,The walls in Nevan's room were the same color he liked,Nevan doesn't like black,Nevan's father's car is black,Nevan's wall is green,Nevan liked the color of his father's car
"Wina cut her hair, which was longer than usual.",Vienna's back hair has now disappeared.,Wina looks different with her neck haircut plus straight bangs above the eyebrows.,For a long time Vienna wanted to try short hairstyles with bangs.,Only now did Winda have the courage to actually make it happen.,Only now did Vienna want to go to the salon for a haircut.
"After Dad left, Mother was the backbone of the family",He has to work hard,I feel so eager to help,But Mom said my job was to study,I studied hard,Mother told me to quit school
Nala wants to have a harmonious family,Nala doesn't like the current condition of her family,Nala only heard the arguments of her parents every day,Nala wants to leave her house,Nala has a disharmonious family,Father and Mother Nala love each other
Alta couldn't tell the color red,Alta has had a disorder since she was little,Alta is saddened by the disorder she is suffering from,Alta couldn't see colors clearly,Alta has color blindness,Alta is a painter who understands various colors
Who doesn't know Melly Goeslaw,He is one of the most famous composers in Indonesia,He has created many songs that have colored various big screen films in Indonesia,"For example, the film Ayat-Ayat Cinta, and What's With Love",Melly's songs are loved by various groups,Melly's songs were not well-liked by children
Hyna received a gift,Hyna got a letter,Hyna finds the chocolate that was shown for her,Hyna does not know who gave all these items,Hyna has a secret admirer,Hyna stole chocolate from the cafeteria
Sita works as a nurse in a hospital,Sita worked tirelessly,Sita treats her patients with great love,Sita is willing to sacrifice her sleep time for them,Sita is enjoying her job,Sita lazing at work
Elena picked up her sister on a motorbike.,His younger brother was at a friend's house for group work.,Fiona passed her sister's friend's house on her way to the house.,Fiona has just finished studying material in school.,Her sister was waiting in front of her friend's house when Fiona arrived.,Her sister was waiting inside Fiona's room.
"""Hold on a little, at least he will realize his mistake soon,"" said a member of the same division with me.","In fact, I could not hold on to anger for long.","But since that guy is my division president, then I have to respect him a little.","""Just see if he says that once again, I'll beat it up!"" I said, raising a fist.","""Don't search because of Yuna, you might not get a certificate"" Again there was a voice trying to stop me.",He came with his two friends who also hated me.
Deni really likes experimenting with shoelaces,It has different colors of shoelaces,He also learned different styles of shoelaces,"Even though he only has one shoe, he often changes the style of his shoelaces","Therefore, Deni seems to have a lot of shoes",Dirty shoes can be washed by brushing
Designer is someone who is creative,Kiara is very creative and critical in his work,Kiara wants to be a designer,Kiara can make clothes that she imagines,Kiara can become a famous designer,Kiara has no interest in art
Riska is watching a film with the action genre,Riska always watches movies on her laptop,Riska subscribes to the Netflix app,Riska really likes watching movies,Riska watches movies on her laptop with the Netflix app,Riska goes to the cinema
The wrong choice of facial care products is a disaster for Rena,Her face now flushed red like it was burning,Rena's face is also getting pimpled,Rena decided to go to a dermatologist,Dermatologist gives Rena medicine to get better soon,Rena wants to operate on her face
Tania feels lonely,Tania's father gave a gift to Tania,Tania happily accepted the gift,Tania's father bought gifts at the pet shop,Tania got a cute cat,Tania's father doesn't care about his son at all
Frannisa likes fast food,Frannisa's sister doesn't want to buy food,Frannisa persuaded her sister,Frannisa was scolded by her sister,Frannisa's sister has no money,Frannisa bought a burger by her sister
I'm not excited today,My cat is gone,I don't know where he went,Even though last night I still saw him,Yesterday was the last day I saw him,My cat is being treated at the veterinary hospital
